customer_name,tenure_months,monthly_charge,contract_type,support_calls,churn
Customer 217,7,99.63,one-year,3,1
Customer 218,32,55.13,one-year,1,0
Customer 219,65,53.55,two-year,0,0
Customer 220,10,74.05,month-to-month,1,1
Customer 221,33,86.89,one-year,0,0
Customer 222,50,70.23,month-to-month,0,0
Customer 223,15,96.58,two-year,0,1
Customer 224,52,87.14,one-year,3,0
Customer 225,22,86.84,one-year,2,0
Customer 226,58,81.08,one-year,3,0
Customer 227,42,116.55,one-year,0,0
Customer 228,39,65.9,two-year,1,1
Customer 229,13,29.93,one-year,3,1
Customer 230,33,102.09,one-year,1,1
Customer 231,61,60.85,month-to-month,0,0
Customer 232,2,72.16,month-to-month,2,1
Customer 233,54,96.19,one-year,3,0
Customer 234,35,37.95,two-year,1,0
Customer 235,52,44.97,two-year,1,0
Customer 236,48,37.97,one-year,2,0
Customer 237,31,54.12,one-year,0,0
Customer 238,22,78.79,one-year,0,1
Customer 239,45,80.48,month-to-month,2,1
Customer 240,10,75.53,month-to-month,2,1
Customer 241,42,41.74,one-year,1,0
Customer 242,7,23.8,month-to-month,0,1
Customer 243,47,71.09,month-to-month,1,0
Customer 244,45,60.56,month-to-month,1,0
Customer 245,6,79.19,month-to-month,0,1
Customer 246,54,84.04,one-year,0,0
Customer 247,30,72.76,two-year,1,0
Customer 248,56,85.2,two-year,0,0
Customer 249,3,74.58,one-year,2,0
Customer 250,13,80.6,one-year,0,1
Customer 251,36,55.91,month-to-month,1,1
Customer 252,14,66.41,month-to-month,1,1
Customer 253,24,73.94,one-year,2,1
Customer 254,47,86.41,one-year,0,0
Customer 255,11,62.13,month-to-month,0,1
Customer 256,49,80.42,one-year,1,0
Customer 257,8,64.68,month-to-month,5,1
Customer 258,13,67.65,month-to-month,1,1
Customer 259,42,86.59,two-year,3,0
Customer 260,57,30.14,one-year,4,0
Customer 261,13,44.07,one-year,2,0
Customer 262,22,40.36,two-year,1,0
Customer 263,66,23.33,two-year,0,0
Customer 264,71,56.43,two-year,2,0
Customer 265,42,84.99,one-year,1,0
Customer 266,32,64.3,two-year,3,1
Customer 267,25,73.96,one-year,1,1
Customer 268,44,91.78,two-year,2,1
Customer 269,42,96.55,two-year,1,1
Customer 270,21,68.62,one-year,1,0
Customer 271,2,97.07,two-year,0,1
Customer 272,11,71.84,one-year,0,1
Customer 273,69,53.25,two-year,2,0
Customer 274,30,58.11,month-to-month,2,0
Customer 275,35,40.39,two-year,4,0
Customer 276,34,52.24,one-year,3,1
Customer 277,56,62.84,two-year,0,0
Customer 278,5,86.07,one-year,0,1
Customer 279,6,104.42,two-year,2,1
Customer 280,20,42.36,month-to-month,3,1
Customer 281,35,77.86,month-to-month,0,1
Customer 282,48,49.19,one-year,3,0
Customer 283,35,79.49,two-year,1,0
Customer 284,32,67.38,two-year,0,0
Customer 285,67,33.38,one-year,2,0
Customer 286,12,88.57,one-year,3,1
Customer 287,41,57.9,one-year,2,1
Customer 288,39,59.32,two-year,0,0
Customer 289,34,48.6,one-year,2,0
Customer 290,58,56.91,one-year,3,0
Customer 291,19,78.56,two-year,1,1
Customer 292,68,66.22,month-to-month,2,0
Customer 293,24,76.57,two-year,2,1
Customer 294,39,77.24,month-to-month,2,1
Customer 295,37,96.41,month-to-month,0,1
Customer 296,61,63.14,two-year,2,0
Customer 297,32,40.46,two-year,0,0
Customer 298,21,91.34,two-year,2,1
Customer 299,2,63.37,two-year,0,1
