store_id,date,sales
store_2,2023-02-04,151.9
store_2,2023-02-05,152.19
store_2,2023-02-06,160.15
store_2,2023-02-07,169.87
store_2,2023-02-08,162.32
store_2,2023-02-09,158.57
store_2,2023-02-10,152.53
store_2,2023-02-11,145.88
store_2,2023-02-12,148.65
store_2,2023-02-13,159.87
store_2,2023-02-14,163.85
store_2,2023-02-15,168.53
store_2,2023-02-16,158.55
store_2,2023-02-17,153.3
store_2,2023-02-18,155.07
store_2,2023-02-19,151.56
store_2,2023-02-20,162.21
store_2,2023-02-21,171.4
store_2,2023-02-22,169.96
store_2,2023-02-23,167.99
store_2,2023-02-24,158.44
store_2,2023-02-25,154.7
store_2,2023-02-26,152.86
store_2,2023-02-27,158.49
store_2,2023-02-28,167.79
store_2,2023-03-01,171.34
store_2,2023-03-02,169.43
store_2,2023-03-03,158.76
store_2,2023-03-04,152.99
store_2,2023-03-05,155.8
store_2,2023-03-06,167.68
store_2,2023-03-07,170.7
store_2,2023-03-08,179.11
store_2,2023-03-09,165.71
store_2,2023-03-10,159.17
store_2,2023-03-11,158.32
store_2,2023-03-12,159.47
store_2,2023-03-13,163.39
store_2,2023-03-14,173.67
store_2,2023-03-15,174.03
store_2,2023-03-16,173.52
store_2,2023-03-17,164.13
store_2,2023-03-18,155.19
store_2,2023-03-19,160.68
store_2,2023-03-20,166.43
store_2,2023-03-21,175.36
store_2,2023-03-22,177.92
store_2,2023-03-23,170.85
store_2,2023-03-24,165.36
store_2,2023-03-25,160.28
store_2,2023-03-26,162.34
store_2,2023-03-27,172.42
store_2,2023-03-28,176.33
store_2,2023-03-29,174.85
store_2,2023-03-30,172.65
store_2,2023-03-31,166.26
store_3,2023-01-01,242.25
store_3,2023-01-02,251.96
store_3,2023-01-03,260.69
store_3,2023-01-04,260.07
store_3,2023-01-05,254.91
store_3,2023-01-06,243.82
store_3,2023-01-07,244.7
store_3,2023-01-08,242.96
store_3,2023-01-09,248.55
store_3,2023-01-10,256.5
store_3,2023-01-11,260.75
store_3,2023-01-12,261.48
store_3,2023-01-13,250.68
store_3,2023-01-14,238.09
store_3,2023-01-15,244.96
store_3,2023-01-16,254.16
store_3,2023-01-17,263.29
store_3,2023-01-18,264.6
store_3,2023-01-19,256.46
store_3,2023-01-20,251.17
store_3,2023-01-21,243.08
store_3,2023-01-22,240.18
store_3,2023-01-23,252.82
store_3,2023-01-24,260.93
store_3,2023-01-25,268.0
store_3,2023-01-26,263.12
store_3,2023-01-27,248.37
store_3,2023-01-28,246.84
store_3,2023-01-29,248.74
store_3,2023-01-30,252.21
store_3,2023-01-31,258.4
store_3,2023-02-01,266.44
store_3,2023-02-02,261.94
store_3,2023-02-03,251.29
store_3,2023-02-04,239.76
store_3,2023-02-05,249.96
store_3,2023-02-06,256.35
store_3,2023-02-07,263.46
store_3,2023-02-08,267.32
store_3,2023-02-09,259.72
store_3,2023-02-10,256.33
store_3,2023-02-11,249.5
store_3,2023-02-12,249.94
store_3,2023-02-13,260.51
store_3,2023-02-14,267.61
store_3,2023-02-15,265.31
store_3,2023-02-16,264.24
store_3,2023-02-17,254.85
store_3,2023-02-18,245.82
store_3,2023-02-19,251.24
store_3,2023-02-20,262.51
store_3,2023-02-21,267.42
store_3,2023-02-22,275.66
store_3,2023-02-23,271.34
store_3,2023-02-24,256.88
store_3,2023-02-25,254.27
store_3,2023-02-26,260.74
store_3,2023-02-27,261.81
store_3,2023-02-28,268.16
store_3,2023-03-01,271.74
store_3,2023-03-02,263.7
store_3,2023-03-03,255.32
store_3,2023-03-04,254.81
store_3,2023-03-05,255.09
store_3,2023-03-06,265.12
store_3,2023-03-07,273.89
store_3,2023-03-08,272.29
store_3,2023-03-09,268.81
store_3,2023-03-10,260.13
store_3,2023-03-11,253.75
store_3,2023-03-12,255.4
store_3,2023-03-13,266.9
store_3,2023-03-14,273.58
store_3,2023-03-15,277.15
store_3,2023-03-16,273.97
store_3,2023-03-17,265.56
store_3,2023-03-18,253.99
store_3,2023-03-19,256.92
store_3,2023-03-20,266.76
store_3,2023-03-21,275.94
store_3,2023-03-22,280.54
store_3,2023-03-23,269.65
store_3,2023-03-24,262.78
store_3,2023-03-25,259.64
store_3,2023-03-26,264.74
store_3,2023-03-27,273.24
store_3,2023-03-28,274.13
store_3,2023-03-29,278.66
store_3,2023-03-30,271.69
store_3,2023-03-31,268.2
